photoshop;65;J'utilise ce logiciel pour traiter mes photos numériques. J'ai pu réaliser des affiches et des photos montages;ADOBE PHOTOSHOP;
html5;0;J'utilise ce logiciel pour créer et organiser des pages web. J'ai commencé à apprendre les bases de ce language cette année;HTML5;
illustrator;70;J'utilise Illustrator pour les créations numériques vectorielles. J'ai pu réaliser des logos, des bannières et des illustrations;ADOBE ILLUSTRATOR;
css3;0;Je possède les bases de ce language en complément du HTML5;CSS3;
indesign;60;J'utilise Indesign pour la mise en page de différents projets, comme des brochures ou des chartes graphiques;ADOBE INDESIGN;
php;0;Je suis novice dans ce language mais je l'utilise notamment pour faire la section compétence et la page contact;PHP;
